A;RTSALEDATA;052;20210823 01:06;VALNET;
B;052;4182183;1;20210823 01:07;;;;SQUARE WELL LANE;HILLSTON;2675;524.2;H;20210707;20210817;25400000;RU1;3;FARM;;LRR;;0;AR344386;
C;052;4182183;1;20210823 01:07;2/1248965;
D;052;4182183;1;20210823 01:07;P;;;;;;N;
D;052;4182183;1;20210823 01:07;V;;;;;;N;
Z;6;1;1;2;
