A;053;20040916 09:55;PDANN;
B;053;3106156;1;20040916 09:55;;;;'WOOROOMA';MOULAMEIN;2733;;;20040513;20040728;8000000;;3;FARM;;;;0;AA849423;
C;053;3106156;1;20040916 09:55;1/1069323;
D;053;3106156;1;20040916 09:55;P;;;;;;
D;053;3106156;1;20040916 09:55;V;;;;;;
Z;6;1;1;2;
