A;142;20010720 10:12;PDANN;
D;142;1511116;19;20010720 10:12;P;;;;;;
D;142;1511116;19;20010720 10:12;V;;;;;;
B;142;1511169;20;20010720 10:12;;6;53;BANKS ST;MONTEREY;2217;;;20000508;20010605;178000;;R;;6;;;;7674573;
C;142;1511169;20;20010720 10:12;6//1295;
D;142;1511169;20;20010720 10:12;P;;;;;;
D;142;1511169;20;20010720 10:12;V;;;;;;
D;142;1511169;20;20010720 10:12;V;;;;;;
B;142;1511216;21;20010720 10:12;;9;45;BANKS ST;MONTEREY;2217;;;20010409;20010523;240000;;R;;9;;;;7675747;
C;142;1511216;21;20010720 10:12;9//1461;
D;142;1511216;21;20010720 10:12;P;;;;;;
D;142;1511216;21;20010720 10:12;P;;;;;;
D;142;1511216;21;20010720 10:12;V;;;;;;
B;142;1511216;22;20010720 10:12;;18;45;BANKS ST;MONTEREY;2217;;;20010424;20010601;270000;;R;;18;;;;7674814;
C;142;1511216;22;20010720 10:12;18//1461;
D;142;1511216;22;20010720 10:12;P;;;;;;
D;142;1511216;22;20010720 10:12;P;;;;;;
D;142;1511216;22;20010720 10:12;V;;;;;;
D;142;1511216;22;20010720 10:12;V;;;;;;
B;142;1511216;23;20010720 10:12;;12;45;BANKS ST;MONTEREY;2217;;;20010424;20010601;270000;;R;;12;;;;7674814;
C;142;1511216;23;20010720 10:12;12//1461;
D;142;1511216;23;20010720 10:12;P;;;;;;
D;142;1511216;23;20010720 10:12;P;;;;;;
D;142;1511216;23;20010720 10:12;V;;;;;;
D;142;1511216;23;20010720 10:12;V;;;;;;
B;142;1511243;24;20010720 10:12;;2;41;BANKS ST;MONTEREY;2217;;;20010405;20010531;269000;;R;;2;;;;7686826;
C;142;1511243;24;20010720 10:12;2//3390;
D;142;1511243;24;20010720 10:12;P;;;;;;
D;142;1511243;24;20010720 10:12;P;;;;;;
D;142;1511243;24;20010720 10:12;V;;;;;;
B;142;1511243;25;20010720 10:12;;9;41;BANKS ST;MONTEREY;2217;;;20010218;20010218;0;;R;;9;;;;7721094;
C;142;1511243;25;20010720 10:12;9//3390;
D;142;1511243;25;20010720 10:12;P;;;;;;
D;142;1511243;25;20010720 10:12;V;;;;;;
B;142;1511243;26;20010720 10:12;;13;41;BANKS ST;MONTEREY;2217;;;20010405;20010531;269000;;R;;13;;;;7686826;
C;142;1511243;26;20010720 10:12;13//3390;
D;142;1511243;26;20010720 10:12;P;;;;;;
D;142;1511243;26;20010720 10:12;P;;;;;;
D;142;1511243;26;20010720 10:12;V;;;;;;
D;142;1511243;26;20010720 10:12;V;;;;;;
B;142;1511243;27;20010720 10:12;;26;41;BANKS ST;MONTEREY;2217;;;20010218;20010218;0;;R;;26;;;;7721094;
C;142;1511243;27;20010720 10:12;26//3390;
D;142;1511243;27;20010720 10:12;P;;;;;;
D;142;1511243;27;20010720 10:12;V;;;;;;
B;142;1511382;28;20010720 10:12;;11;30;BANKS ST;MONTEREY;2217;;;20010511;20010622;290000;;R;;11;;;;7717178;
C;142;1511382;28;20010720 10:12;11//1746;
D;142;1511382;28;20010720 10:12;P;;;;;;
D;142;1511382;28;20010720 10:12;V;;;;;;
D;142;1511382;28;20010720 10:12;V;;;;;;
B;142;1511382;29;20010720 10:12;;21;30;BANKS ST;MONTEREY;2217;;;20010511;20010622;290000;;R;;21;;;;7717178;
C;142;1511382;29;20010720 10:12;21//1746;
D;142;1511382;29;20010720 10:12;P;;;;;;
D;142;1511382;29;20010720 10:12;V;;;;;;
B;142;1511503;30;20010720 10:12;;2;46;BANKS ST;MONTEREY;2217;;;20010518;20010518;0;;R;;2;;;;7677470;
C;142;1511503;30;20010720 10:12;2//6942;
D;142;1511503;30;20010720 10:12;P;;;;;;
D;142;1511503;30;20010720 10:12;P;;;;;;
D;142;1511503;30;20010720 10:12;V;;;;;;
